step,time_ms
1,196.675
2,1.220
3,1.160
4,1.146
5,1.150
6,1.181
7,1.173
8,1.142
9,1.172
10,1.188
11,1.188
12,1.095
13,1.179
14,1.176
15,1.152
16,1.150
17,1.159
18,1.143
19,1.172
20,1.157
21,1.151
22,1.074
23,1.155
24,1.161
25,1.149
26,1.120
27,1.147
28,1.086
29,1.165
30,1.151
31,1.152
32,1.170
33,1.139
34,1.132
35,1.212
36,1.154
37,1.187
38,1.137
39,1.174
40,1.162
41,1.176
42,1.134
43,1.179
44,1.197
45,1.166
46,1.186
47,1.148
48,1.153
49,1.162
50,1.159
51,1.157
52,1.172
53,1.185
54,1.133
55,1.147
56,1.136
57,1.152
58,1.139
59,1.190
60,1.172
61,1.144
62,1.103
63,1.208
64,1.154
65,1.126
66,1.156
67,1.133
68,1.152
69,1.156
70,1.162
71,1.135
72,1.206
73,1.117
74,1.107
75,1.067
76,1.140
77,1.136
78,1.193
79,1.122
80,1.153
81,1.169
82,1.152
83,1.123
84,1.130
85,1.139
86,1.155
87,1.176
88,1.079
89,1.151
90,1.131
91,1.138
92,1.152
93,1.135
94,1.191
95,1.147
96,1.148
97,1.139
98,1.125
99,1.149
100,1.106
101,1.164
102,1.150
103,1.124
104,1.148
105,1.096
106,1.088
107,1.187
108,1.193
109,1.142
110,1.115
111,1.130
112,1.144
113,1.142
114,1.129
115,1.122
116,1.161
117,1.153
118,1.124
119,1.127
120,1.141
121,1.144
122,1.177
123,1.172
124,1.187
125,1.148
126,1.128
127,1.163
128,1.144
129,1.109
130,1.140
131,1.181
132,1.166
133,1.085
134,1.148
135,1.162
136,1.144
137,1.169
138,1.154
139,1.138
140,1.179
141,1.146
142,1.129
143,1.121
144,1.149
145,1.152
146,1.147
147,1.135
148,1.132
149,1.079
150,1.091
151,1.163
152,1.161
153,1.141
154,1.166
155,1.145
156,1.130
157,1.125
158,1.122
159,1.144
160,1.139
161,1.146
162,1.143
163,1.139
164,1.132
165,1.153
166,1.144
167,1.138
168,1.130
169,1.132
170,1.130
171,1.149
172,1.106
173,1.161
174,1.166
175,1.121
176,1.069
177,1.107
178,1.164
179,1.110
180,1.149
181,1.118
182,1.152
183,1.136
184,1.148
185,1.141
186,1.147
187,1.085
188,1.184
189,1.076
190,1.153
191,1.134
192,1.145
193,1.140
194,1.139
195,1.129
196,1.175
197,1.149
198,1.129
199,1.122
200,1.126
201,1.074
202,1.161
203,1.153
204,1.101
205,1.111
206,1.084
207,1.081
208,1.089
209,1.112
210,1.195
211,1.186
212,1.125
213,1.147
214,1.151
215,1.124
216,1.115
217,1.111
218,1.121
219,1.160
220,1.078
221,1.069
222,1.161
223,1.152
224,1.158
225,1.119
226,1.115
227,1.182
228,1.074
229,1.157
230,1.144
231,1.120
232,1.119
233,1.081
234,1.173
235,1.122
236,1.113
237,1.138
238,1.134
239,1.165
240,1.142
241,1.146
242,1.133
243,1.118
244,1.156
245,1.081
246,1.176
247,1.128
248,1.102
249,1.153
250,1.128
251,1.145
252,1.135
253,1.140
254,1.174
255,1.222
256,1.146
257,1.140
258,1.153
259,1.148
260,1.147
261,1.130
262,1.189
263,1.139
264,1.143
265,1.148
266,1.077
267,1.174
268,1.093
269,1.213
270,1.103
271,1.131
272,1.134
273,1.098
274,1.083
275,1.104
276,1.057
277,1.175
278,1.106
279,1.140
280,1.130
281,1.155
282,1.148
283,1.108
284,1.185
285,1.147
286,1.119
287,1.136
288,1.132
289,1.128
290,1.101
291,1.138
292,1.107
293,1.145
294,1.132
295,1.122
296,1.124
297,1.135
298,1.171
299,1.141
300,1.162
301,1.128
