step,time_ms
1,249.811
2,0.146
3,0.119
4,0.106
5,0.096
6,0.093
7,0.089
8,0.083
9,0.081
10,0.082
11,0.079
12,0.078
13,0.088
14,0.086
15,0.089
16,0.083
17,0.084
18,0.078
19,0.078
20,0.077
21,0.078
22,0.081
23,0.089
24,0.086
25,0.080
26,0.081
27,0.082
28,0.078
29,0.080
30,0.079
31,0.078
32,0.077
33,0.077
34,0.077
35,0.076
36,0.077
37,0.077
38,0.076
39,0.082
40,0.077
41,0.077
42,0.079
43,0.079
44,0.077
45,0.077
46,0.076
47,0.077
48,0.091
49,0.109
50,0.099
51,0.114
52,0.148
53,0.170
54,0.124
55,0.115
56,0.109
57,0.102
58,0.110
59,0.103
60,0.188
61,0.123
62,0.122
63,0.215
64,0.153
65,0.132
66,0.165
67,0.169
68,0.113
69,0.111
70,0.113
71,0.100
72,0.097
73,0.107
74,0.109
75,0.114
76,0.107
77,0.113
78,0.111
79,0.109
80,0.110
81,0.105
82,0.106
83,0.102
84,0.097
85,0.146
86,0.143
87,0.144
88,0.139
89,0.128
90,0.101
91,0.108
92,0.124
93,0.145
94,0.128
95,0.108
96,0.106
97,0.112
98,0.109
99,0.109
100,0.110
101,0.106
102,0.108
103,0.096
104,0.115
105,0.140
106,0.162
107,0.174
108,0.146
109,0.137
110,0.142
111,0.115
112,0.114
113,0.101
114,0.099
115,0.106
116,0.110
117,0.094
118,0.111
119,0.109
120,0.107
121,0.109
122,0.098
123,0.110
124,0.109
125,0.099
126,0.106
127,0.099
128,0.100
129,0.096
130,0.100
131,0.101
132,0.108
133,0.095
134,0.098
135,0.099
136,0.124
137,0.093
138,0.107
139,0.104
140,0.107
141,0.094
142,0.099
143,0.108
144,0.108
145,0.102
146,0.108
147,0.118
148,0.117
149,0.108
150,0.110
151,0.106
152,0.105
153,0.098
154,0.098
155,0.119
156,0.106
157,0.114
158,0.145
159,0.141
160,0.101
161,0.102
162,0.102
163,0.111
164,0.095
165,0.110
166,0.120
167,0.105
168,0.106
169,0.113
170,0.106
171,0.109
172,0.099
173,0.110
174,0.117
175,0.108
176,0.109
177,0.108
178,0.108
179,0.109
180,0.132
181,0.143
182,0.144
183,0.148
184,0.127
185,0.123
186,0.141
187,0.106
188,0.107
189,0.106
190,0.098
191,0.099
192,0.108
193,0.109
194,0.108
195,0.108
196,0.107
197,0.114
198,0.147
199,0.130
200,0.124
201,0.104
202,0.113
203,0.164
204,0.136
205,0.119
206,0.103
207,0.106
208,0.113
209,0.155
210,0.132
211,0.108
212,0.109
213,0.107
214,0.108
215,0.108
216,0.097
217,0.104
218,0.103
219,0.107
220,0.110
221,0.116
222,0.101
223,0.099
224,0.119
225,0.130
226,0.131
227,0.120
228,0.110
229,0.099
230,0.110
231,0.099
232,0.117
233,0.120
234,0.093
235,0.111
236,0.113
237,0.113
238,0.099
239,0.100
240,0.097
241,0.110
242,0.103
243,0.101
244,0.107
245,0.111
246,0.109
247,0.110
248,0.109
249,0.107
250,0.105
251,0.107
252,0.098
253,0.112
254,0.101
255,0.113
256,0.111
257,0.092
258,0.109
259,0.107
260,0.098
261,0.108
262,0.098
263,0.116
264,0.126
265,0.125
266,0.108
267,0.112
268,0.099
269,0.100
270,0.113
271,0.113
272,0.155
273,0.135
274,0.100
275,0.132
276,0.160
277,0.126
278,0.113
279,0.111
280,0.120
281,0.110
282,0.118
283,0.137
284,0.150
285,0.134
286,0.105
287,0.101
288,0.102
289,0.101
290,0.104
291,0.109
292,0.098
293,0.112
294,0.104
295,0.098
296,0.110
297,0.108
298,0.111
299,0.107
300,0.107
301,0.109
302,0.105
303,0.099
304,0.099
305,0.107
306,0.108
307,0.095
308,0.100
309,0.097
310,0.097
311,0.107
312,0.101
313,0.096
314,0.111
315,0.106
316,0.124
317,0.142
318,0.125
319,0.103
320,0.098
321,0.108
322,0.098
323,0.108
324,0.113
325,0.104
326,0.109
327,0.106
328,0.096
329,0.101
330,0.106
