step,time_ms
1,1.966
2,0.228
3,0.194
4,0.184
5,0.183
6,0.183
7,0.181
8,0.195
9,0.180
10,0.173
11,0.166
12,0.169
13,0.187
14,0.189
15,0.176
16,0.187
17,0.287
18,0.178
19,0.198
20,0.195
21,0.187
22,0.181
23,0.195
24,0.289
25,0.245
26,0.191
27,0.188
28,0.180
29,0.164
30,0.174
31,0.173
32,0.180
33,0.174
34,0.174
35,0.174
36,0.175
37,0.173
38,0.159
39,0.158
40,0.159
41,0.160
42,0.150
43,0.147
44,0.150
45,0.162
46,0.161
47,0.160
48,0.155
49,0.162
50,0.159
51,0.170
52,0.171
53,0.159
54,0.158
55,0.158
56,0.172
57,0.158
58,0.313
59,0.202
60,0.206
61,0.223
62,0.184
63,0.174
64,0.172
65,0.201
66,0.193
67,0.173
68,0.163
69,0.176
70,0.173
71,0.184
72,0.190
73,0.181
74,0.170
75,0.164
76,0.168
77,0.156
78,0.158
79,0.155
80,0.156
81,0.156
82,0.167
83,0.167
84,0.295
85,0.222
86,0.264
87,0.481
88,0.227
89,0.279
90,0.192
91,0.179
92,0.180
93,0.160
94,0.158
95,0.157
96,0.157
97,0.149
98,0.166
99,0.165
100,0.161
101,0.158
102,0.157
103,0.155
104,0.154
105,0.152
106,0.148
107,0.148
108,0.148
109,0.148
110,0.149
111,0.148
112,0.149
113,0.220
114,0.162
115,0.159
116,0.159
117,0.151
118,0.145
119,0.162
120,0.151
121,0.200
122,0.177
123,0.160
124,0.163
125,0.166
126,0.159
127,0.162
128,0.154
129,0.152
130,0.148
131,0.148
132,0.147
133,0.147
134,0.147
135,0.151
136,0.147
137,0.146
138,0.148
139,0.147
140,0.145
141,0.141
142,0.147
143,0.147
144,0.147
145,0.149
146,0.146
147,0.146
148,0.147
149,0.147
150,0.147
151,0.148
152,0.146
153,0.146
154,0.146
155,0.147
156,0.146
157,0.146
158,0.147
159,0.146
160,0.147
161,0.147
162,0.146
163,0.140
164,0.146
165,0.146
166,0.159
167,0.156
168,0.150
169,0.146
170,0.147
171,0.153
172,0.146
173,0.146
174,0.148
175,0.146
176,0.147
177,0.148
178,0.146
179,0.147
180,0.288
181,0.173
182,0.155
183,0.151
184,0.149
185,0.156
186,0.155
187,0.161
188,0.161
189,0.159
190,0.170
191,0.174
192,0.170
193,0.155
194,0.158
195,0.154
196,0.154
197,0.159
198,0.162
199,0.161
200,0.161
201,0.157
202,0.164
203,0.154
204,0.155
205,0.155
206,0.154
207,0.154
208,0.154
209,0.153
210,0.147
211,0.153
212,0.153
213,0.169
214,0.146
215,0.152
216,0.157
217,0.145
218,0.154
219,0.153
220,0.219
221,0.170
222,0.180
223,0.159
224,0.147
225,0.147
226,0.150
227,0.148
228,0.147
229,0.157
230,0.146
231,0.152
232,0.147
233,0.147
234,0.148
235,0.147
236,0.152
237,0.148
238,0.157
239,0.155
240,0.147
241,0.155
242,0.147
243,0.205
244,0.171
245,0.148
246,0.153
247,0.147
248,0.152
249,0.156
250,0.153
251,0.155
252,0.147
253,0.154
254,0.153
255,0.150
256,0.145
257,0.146
258,0.144
259,0.157
260,0.153
261,0.153
262,0.154
263,0.150
264,0.145
265,0.152
266,0.154
267,0.154
268,0.155
269,0.154
270,0.148
271,0.148
272,0.155
273,0.154
274,0.215
275,0.160
276,0.152
277,0.158
278,0.154
279,0.152
280,0.150
281,0.152
282,0.154
283,0.148
284,0.147
285,0.153
286,0.156
287,0.158
288,0.147
289,0.146
290,0.147
291,0.147
292,0.146
293,0.148
294,0.153
295,0.159
296,0.150
297,0.156
298,0.148
299,0.147
300,0.147
301,0.147
302,0.148
303,0.146
304,0.146
305,0.141
306,0.147
307,0.147
308,0.150
309,0.245
310,0.167
311,0.152
312,0.161
313,0.142
314,0.150
315,0.142
316,0.141
317,0.160
318,0.148
319,0.139
320,0.161
321,0.147
322,0.152
323,0.157
324,0.165
325,0.157
326,0.154
327,0.150
328,0.207
329,0.170
330,0.165
331,0.159
332,0.149
333,0.156
334,0.161
335,0.146
336,0.157
337,0.142
338,0.151
339,0.147
340,0.162
341,0.149
342,0.140
343,0.160
344,0.152
345,0.147
346,0.145
347,0.140
348,0.153
349,0.144
350,0.147
351,0.147
352,0.147
353,0.159
354,0.150
355,0.146
356,0.158
357,0.140
358,0.147
359,0.151
360,0.140
361,0.140
362,0.147
363,0.148
364,0.151
365,0.149
366,0.150
367,0.159
368,0.158
369,0.144
370,0.151
371,0.149
372,0.150
373,0.156
374,0.199
375,0.157
376,0.152
377,0.151
378,0.150
379,0.157
380,0.147
381,0.147
382,0.169
383,0.179
384,0.158
385,0.152
386,0.147
387,0.147
388,0.147
389,0.154
390,0.147
391,0.138
392,0.146
393,0.157
394,0.147
395,0.147
396,0.149
397,0.146
398,0.141
399,0.151
400,0.139
401,0.142
402,0.148
403,0.140
404,0.139
405,0.144
406,0.153
407,0.148
408,0.140
409,0.140
410,0.161
411,0.140
412,0.155
413,0.147
414,0.149
415,0.157
416,0.154
417,0.146
418,0.151
419,0.154
420,0.152
421,0.147
422,0.147
423,0.151
424,0.147
425,0.146
426,0.149
427,0.147
428,0.150
429,0.149
430,0.146
431,0.146
432,0.147
433,0.154
434,0.147
435,0.147
436,0.147
437,0.146
438,0.148
439,0.257
440,0.182
441,0.158
442,0.159
443,0.159
444,0.158
445,0.156
446,0.150
447,0.149
448,0.155
449,0.156
450,0.147
451,0.154
452,0.141
453,0.148
454,0.148
455,0.147
456,0.153
457,0.152
458,0.156
459,0.147
460,0.147
461,0.151
462,0.162
463,0.148
464,0.140
465,0.149
466,0.160
467,0.164
468,0.169
469,0.150
470,0.154
471,0.154
472,0.146
473,0.154
474,0.153
475,0.154
476,0.153
477,0.154
478,0.152
479,0.148
480,0.147
481,0.153
482,0.153
483,0.154
484,0.148
485,0.150
486,0.146
487,0.148
488,0.146
489,0.146
490,0.146
491,0.146
492,0.203
493,0.189
494,0.153
495,0.140
496,0.150
497,0.153
498,0.139
499,0.140
500,0.143
501,0.147
502,0.147
503,0.152
504,0.156
505,0.151
506,0.146
507,0.147
508,0.146
509,0.146
510,0.146
511,0.151
512,0.139
513,0.139
514,0.148
515,0.146
516,0.159
517,0.141
518,0.147
519,0.150
520,0.146
521,0.160
522,0.148
523,0.146
524,0.139
525,0.148
526,0.149
527,0.153
528,0.151
529,0.169
530,0.153
531,0.153
532,0.147
533,0.148
534,0.147
535,0.154
536,0.147
537,0.144
538,0.147
539,0.146
540,0.146
541,0.146
542,0.146
543,0.146
544,0.146
545,0.146
546,0.153
547,0.162
548,0.154
549,0.146
550,0.151
551,0.162
552,0.150
553,0.148
554,0.140
555,0.147
556,0.146
557,0.146
558,0.152
559,0.204
560,0.208
561,0.163
562,0.164
563,0.185
564,0.162
565,0.156
566,0.166
567,0.163
568,0.161
569,0.159
570,0.156
571,0.185
572,0.435
573,0.361
574,0.188
575,0.184
576,0.186
577,0.184
578,0.185
579,0.181
580,0.299
581,0.836
582,0.738
583,0.653
584,2.469
585,0.196
586,0.183
587,0.177
588,0.635
589,0.567
590,0.221
591,0.190
592,0.184
593,0.178
594,0.178
595,0.631
596,0.173
597,0.172
598,0.160
599,0.171
600,0.578
601,0.369
602,0.446
603,0.365
604,0.436
605,0.534
606,0.377
607,0.345
608,0.340
609,0.334
610,0.341
611,0.386
612,0.532
613,0.200
614,0.424
615,0.392
616,0.356
617,0.343
618,0.337
619,0.337
620,0.345
621,0.331
622,0.333
623,0.359
624,0.410
625,0.366
626,0.361
627,1.344
628,0.392
629,0.349
630,0.353
631,0.337
632,0.342
633,0.373
634,0.557
635,1.010
636,0.249
637,0.186
638,0.178
639,0.175
640,0.173
641,0.171
642,0.159
643,0.158
644,0.159
645,0.158
646,0.157
647,0.158
648,0.157
649,0.157
650,0.157
651,0.452
652,0.653
653,0.698
654,1.068
655,0.404
656,0.406
657,0.470
658,0.190
659,0.201
660,0.156
661,0.153
662,0.148
663,0.148
664,0.147
665,0.139
666,0.147
667,0.146
668,0.146
669,0.142
670,0.147
671,0.148
672,0.150
673,0.161
674,0.159
675,0.147
676,0.143
677,0.145
678,0.146
679,0.148
680,0.267
681,0.319
682,0.162
683,0.150
684,0.152
685,0.148
686,0.147
687,0.150
688,0.144
689,0.150
690,0.148
691,0.146
692,0.146
693,0.167
694,0.147
695,0.148
696,0.149
697,0.157
698,0.153
699,0.146
700,0.146
701,0.146
702,0.146
703,0.154
704,0.149
705,0.147
706,0.145
707,0.146
708,0.146
709,0.147
710,0.146
711,0.151
712,0.148
713,0.146
714,0.153
715,0.141
716,0.147
717,0.152
718,0.146
719,0.146
720,0.146
721,0.146
722,0.148
723,0.277
724,0.214
725,0.170
726,0.163
727,0.156
728,0.152
729,0.173
730,0.266
731,0.531
732,0.956
733,0.371
734,0.262
735,0.401
736,0.306
737,0.405
738,0.180
739,0.217
