step,time_ms
1,7.283
2,7.344
3,7.304
4,7.414
5,7.603
6,7.821
7,7.162
8,7.113
9,7.030
10,7.115
11,7.177
12,6.985
13,7.146
14,7.034
15,7.296
16,6.954
17,7.171
18,7.178
19,6.957
20,7.027
21,7.008
22,6.930
23,6.833
24,7.217
25,7.357
26,7.061
27,7.087
28,7.156
29,6.995
30,7.084
31,7.038
32,7.012
33,7.092
34,7.103
35,7.102
36,7.210
37,6.961
38,7.096
39,7.127
40,7.093
41,7.088
42,6.901
43,7.079
44,7.078
45,7.159
46,7.076
47,7.106
48,6.940
49,6.857
50,7.268
51,6.972
52,7.105
53,7.433
54,7.210
55,8.355
56,7.303
57,7.222
58,7.181
59,6.934
60,7.351
61,7.172
62,6.949
63,7.292
64,7.306
65,7.035
66,7.014
67,7.175
68,7.077
69,7.130
70,7.130
71,7.113
72,6.783
73,6.968
74,7.006
75,6.951
76,7.027
77,7.033
78,6.992
79,6.810
80,7.054
81,7.209
82,6.993
83,6.907
84,7.101
85,6.919
86,7.275
87,7.251
88,6.988
89,7.030
90,6.814
91,7.084
92,7.174
93,7.076
94,7.145
95,6.944
96,7.119
97,7.026
98,7.133
99,8.460
100,26.208
101,12.072
102,10.766
103,7.082
104,7.264
105,6.948
106,7.025
107,7.153
108,7.207
109,6.933
110,7.293
111,7.236
112,7.285
113,7.019
114,6.952
115,6.905
116,6.920
117,6.970
118,7.167
119,7.307
120,7.215
121,7.380
122,7.134
123,6.991
124,7.069
125,7.039
126,6.945
127,7.186
128,7.020
129,6.771
130,6.940
131,7.013
132,6.991
133,7.059
134,6.978
135,6.764
136,7.110
137,7.881
138,7.152
139,7.055
140,7.000
141,6.758
142,6.799
143,7.091
144,6.997
145,6.948
146,7.038
147,7.062
148,6.767
149,6.774
150,6.993
151,7.112
152,6.994
153,6.784
154,6.782
155,6.882
156,6.907
157,6.915
158,7.071
159,7.119
160,6.903
161,6.792
162,6.967
163,6.875
164,6.820
165,6.993
166,6.900
167,6.876
168,7.230
169,6.913
170,6.957
171,7.018
172,7.009
173,6.952
174,7.084
175,6.881
176,7.122
177,6.779
178,7.069
179,7.055
180,7.230
181,6.931
182,7.001
183,6.834
184,7.119
185,7.292
186,7.125
187,7.008
188,7.066
189,6.957
190,6.778
191,7.104
192,7.159
193,6.844
194,7.072
195,7.050
196,7.221
197,6.911
198,7.011
199,6.845
200,6.840
201,6.958
202,7.137
203,6.909
204,6.820
205,6.865
206,6.816
207,6.885
208,7.100
209,6.993
210,6.957
211,6.868
212,6.897
213,6.901
214,6.823
215,7.073
216,7.192
217,7.069
218,6.862
219,6.922
220,6.986
221,7.039
222,6.893
223,6.931
224,6.993
225,7.113
226,6.960
227,7.148
228,6.975
229,6.942
230,6.816
231,6.858
232,6.901
233,7.029
234,7.083
235,7.036
236,6.856
237,6.984
238,7.067
239,6.861
240,6.790
241,6.912
242,7.009
243,6.985
244,7.152
245,6.998
246,6.738
247,11.559
248,7.495
249,7.126
250,7.259
251,7.262
252,7.374
253,6.965
254,7.538
255,7.362
256,7.368
257,6.990
258,7.474
259,7.564
260,7.367
261,7.318
262,7.095
263,7.058
264,7.066
265,6.997
266,7.069
267,6.864
268,6.903
269,6.915
270,6.884
271,6.767
272,7.085
273,6.939
274,6.917
275,7.024
276,6.976
277,7.279
278,7.002
279,6.892
280,6.899
281,7.049
282,6.900
283,7.000
284,6.981
285,7.230
286,7.313
287,7.228
288,7.210
289,6.914
290,7.186
291,7.126
292,7.128
293,6.969
294,6.953
295,7.022
296,6.903
297,7.259
298,6.908
299,6.854
300,6.948
301,7.088
302,7.216
303,7.065
304,7.059
305,6.926
306,6.797
307,6.947
308,6.906
309,7.035
310,7.073
311,7.073
312,6.881
313,7.094
314,6.950
315,6.809
316,7.364
317,7.173
318,7.216
319,7.153
320,7.276
321,6.902
322,6.984
323,7.206
324,7.030
325,7.047
326,7.408
327,7.188
328,6.949
329,6.845
330,7.217
331,7.330
332,7.503
333,7.064
334,7.326
335,7.170
336,7.427
337,7.699
338,6.916
339,7.077
340,7.317
341,7.223
342,7.190
343,7.210
344,7.546
345,8.281
346,8.238
347,7.299
348,7.361
349,6.799
350,7.206
351,7.028
352,7.031
353,7.590
354,7.020
355,6.749
356,6.888
357,7.090
358,7.211
359,7.125
360,7.368
361,7.359
362,6.996
363,6.964
364,7.050
365,7.209
366,7.088
367,7.212
368,6.895
369,7.196
370,7.249
371,7.036
372,7.677
373,6.988
374,6.906
375,6.788
376,6.847
377,7.010
378,6.904
379,7.227
380,7.153
381,7.048
382,6.922
383,7.271
384,6.961
385,7.220
386,7.167
387,6.960
388,7.412
389,7.068
390,7.329
391,7.121
392,7.023
393,6.914
394,6.814
395,6.872
396,7.112
397,7.085
398,6.966
399,7.235
400,7.054
401,6.756
402,6.924
403,7.099
404,7.063
405,6.993
406,7.045
407,6.987
408,6.728
409,7.064
410,6.907
411,6.819
412,7.249
413,7.059
414,6.857
415,6.941
416,7.299
417,7.032
418,6.912
419,7.027
420,7.174
421,6.795
422,6.819
423,6.836
424,7.088
425,6.950
426,7.137
427,7.209
428,7.323
429,8.108
430,7.285
431,7.162
432,7.024
433,7.126
434,7.218
435,6.893
436,6.758
437,7.027
438,6.862
439,6.819
440,6.978
441,7.223
442,6.925
443,6.803
444,6.961
445,6.929
446,6.857
447,6.900
448,7.050
449,7.092
450,7.202
451,7.458
452,6.894
453,7.236
454,6.993
455,7.288
456,7.286
457,7.175
458,7.118
459,7.031
460,7.032
461,6.992
462,6.980
463,7.143
464,7.116
465,7.229
466,6.961
467,7.315
468,7.053
469,6.961
470,7.031
471,6.963
472,6.857
473,6.879
474,6.785
475,7.354
476,7.147
477,6.990
478,7.147
479,7.139
480,6.993
481,7.087
482,6.908
483,6.907
484,7.057
485,7.119
486,7.387
487,7.043
488,7.368
489,7.004
490,7.184
491,7.235
492,7.349
493,7.358
494,7.026
495,7.265
496,7.006
497,7.135
498,7.426
499,7.631
500,7.104
501,7.254
502,7.353
503,7.352
504,7.312
505,6.865
506,7.106
507,6.963
508,6.959
509,7.141
510,6.995
511,6.989
512,7.137
513,6.998
514,7.244
515,7.388
516,7.087
517,6.906
518,7.058
519,7.241
520,7.380
521,7.331
522,7.285
523,7.009
524,7.474
525,6.936
526,6.988
527,6.898
528,7.262
529,7.548
530,7.416
531,7.298
532,7.325
533,6.933
534,7.397
535,7.452
536,7.293
537,7.206
538,7.129
539,6.891
540,7.105
541,7.371
542,7.426
543,7.332
544,7.135
545,7.272
546,7.163
547,7.021
548,7.244
549,7.339
550,7.374
551,7.164
552,7.176
553,7.309
554,11.827
555,9.603
556,7.411
557,7.409
558,7.830
559,7.573
560,7.251
561,7.363
562,7.323
563,7.394
564,10.223
565,7.184
566,7.311
567,7.012
568,7.463
569,7.122
570,7.520
571,7.347
572,7.383
573,7.160
574,7.179
575,7.428
576,7.634
577,7.277
578,7.193
579,7.155
580,7.008
581,7.107
582,7.426
583,7.094
584,7.363
585,7.227
586,7.204
587,7.136
588,7.100
589,7.439
590,7.385
591,7.385
592,7.226
593,7.481
594,7.292
595,7.205
596,7.261
597,6.995
598,7.204
599,6.926
600,7.000
601,7.213
602,7.282
603,7.150
604,7.154
605,7.095
606,7.095
607,7.056
608,7.195
609,7.273
610,7.093
611,6.889
612,7.329
613,7.250
614,7.153
615,7.037
616,6.987
617,7.033
618,7.218
619,6.878
620,6.984
621,6.877
622,6.949
623,7.099
624,7.165
625,6.961
626,6.998
627,6.964
628,7.132
629,6.941
630,6.947
631,7.371
632,7.302
633,7.326
634,7.196
635,7.111
636,6.967
637,6.772
638,7.251
639,6.905
640,7.073
641,7.193
642,7.142
643,6.853
644,6.756
645,7.122
646,7.028
647,6.871
648,6.988
649,7.007
650,7.120
651,7.033
652,6.927
653,6.889
654,7.037
655,6.957
656,7.140
657,6.857
658,6.798
659,7.234
660,7.266
661,7.004
662,7.183
663,7.033
664,7.020
665,7.192
666,7.057
667,7.032
668,7.055
669,7.274
670,6.955
671,6.996
672,6.996
673,6.996
674,7.086
675,6.949
676,6.964
677,7.064
678,7.160
679,7.076
680,7.084
681,7.008
682,7.243
683,6.961
684,7.176
685,7.122
686,7.036
687,7.170
688,7.123
689,7.280
690,7.105
691,6.976
692,7.291
693,7.236
694,6.940
695,6.937
696,6.805
697,7.208
698,7.381
699,7.083
700,7.137
701,7.016
702,6.944
703,6.962
704,7.052
705,7.366
706,7.319
707,7.083
708,7.129
709,7.078
710,6.892
711,7.074
712,7.278
713,7.395
714,7.141
715,7.539
716,7.447
717,7.587
718,7.112
719,7.272
720,7.230
721,7.165
722,7.170
723,7.092
724,7.309
725,7.872
726,7.252
727,7.000
728,7.184
729,7.178
730,7.197
731,7.120
732,7.038
733,7.008
734,7.097
735,7.006
736,7.165
737,7.217
738,7.097
739,7.072
740,7.058
741,6.946
742,6.962
743,7.414
744,6.986
745,7.356
746,7.015
747,7.020
748,7.137
749,6.888
750,7.334
751,6.923
752,7.279
753,7.186
754,6.899
755,7.133
756,7.156
757,7.069
758,6.900
759,6.960
760,6.953
761,7.220
762,7.099
763,7.026
764,7.281
765,7.031
766,7.043
767,7.117
768,7.088
769,7.029
770,7.142
771,7.075
772,7.198
773,6.896
774,7.197
775,7.098
776,7.058
777,7.029
778,7.001
779,6.885
780,7.324
781,7.027
782,7.141
783,7.000
784,7.008
785,7.055
786,6.874
787,7.360
788,7.340
789,7.979
790,8.466
791,8.400
792,8.086
793,8.119
794,7.865
795,7.431
796,7.657
797,7.188
798,7.301
799,13.048
800,28.553
801,48.485
802,35.868
803,7.908
804,8.013
805,7.841
806,15.634
807,7.068
808,7.153
809,7.273
810,7.082
811,7.515
812,7.090
813,7.156
814,7.168
815,6.910
816,6.926
817,7.170
818,7.268
819,7.001
820,7.091
821,7.381
822,7.005
823,6.967
824,6.937
825,6.761
826,7.090
827,6.863
828,7.309
829,7.238
830,6.992
831,6.884
832,6.755
833,7.387
834,7.003
835,7.406
836,7.067
837,7.001
838,7.203
839,7.368
840,7.128
841,6.954
842,6.893
843,6.972
844,6.897
845,7.000
846,7.115
847,7.148
848,7.119
849,7.162
850,7.255
851,6.897
852,6.876
853,7.364
854,6.913
855,7.279
856,6.837
857,7.160
858,7.352
859,7.187
860,6.998
861,6.773
862,6.993
863,7.130
864,6.965
865,7.153
866,7.155
867,7.065
868,6.859
869,7.026
870,6.995
871,6.942
872,7.024
873,7.098
874,6.811
875,7.180
876,7.180
877,7.081
878,7.327
879,7.181
880,7.250
881,7.056
882,7.235
883,9.916
884,7.081
885,7.291
886,7.403
887,7.621
888,7.909
889,7.385
890,7.732
891,7.940
892,8.224
893,7.452
894,7.211
895,10.554
896,8.261
897,7.081
898,6.981
899,6.925
900,7.142
901,6.932
902,7.042
903,7.093
904,7.212
905,7.088
906,7.121
907,7.151
908,7.186
909,6.766
910,6.966
911,7.022
912,7.056
913,6.856
914,6.975
915,7.178
916,6.913
917,7.104
918,7.315
919,6.827
920,7.125
921,6.883
922,6.921
923,7.042
924,7.240
925,7.167
926,6.839
927,7.063
928,6.928
929,6.854
930,7.261
931,6.909
932,6.894
933,7.313
934,7.078
935,7.032
936,7.111
937,6.964
938,7.165
939,6.830
940,7.176
941,7.004
942,7.283
943,6.973
944,7.027
945,6.993
946,7.164
947,7.016
948,6.872
949,6.960
950,7.453
951,7.834
952,7.472
953,7.070
954,6.913
955,6.940
956,6.958
957,6.791
958,7.126
959,6.939
960,6.774
961,6.899
962,7.241
963,7.225
964,6.905
965,7.084
966,6.909
967,7.439
968,7.031
969,7.064
970,6.906
971,6.927
972,7.107
973,6.723
974,7.210
975,7.256
976,6.975
977,7.092
978,7.021
979,7.010
980,6.777
981,7.190
982,7.043
983,6.938
984,7.377
985,7.066
986,6.956
987,6.778
988,7.108
989,7.092
990,7.038
991,7.128
992,7.102
993,6.750
994,7.246
995,8.194
996,7.128
997,7.053
998,6.996
999,7.302
1000,7.271
