step,time_ms
1,0.313
2,0.212
3,0.193
4,0.187
5,0.192
6,0.180
7,0.185
8,0.176
9,0.175
10,0.177
11,0.190
12,0.226
13,0.194
14,0.182
15,0.176
16,0.174
17,0.172
18,0.179
19,0.173
20,0.171
21,0.171
22,0.170
23,0.170
24,0.174
25,0.193
26,0.196
27,0.182
28,0.181
29,0.173
30,0.168
31,0.176
32,0.181
33,0.178
34,0.172
35,0.169
36,0.170
37,0.178
38,0.168
39,0.174
40,0.169
41,0.169
42,0.174
43,0.165
44,0.179
45,0.170
46,0.175
47,0.177
48,0.167
49,0.169
50,0.173
51,0.169
52,0.176
53,0.216
54,0.220
55,0.195
56,0.179
57,0.220
58,0.199
59,0.189
60,0.360
61,0.186
62,0.166
63,0.161
64,0.192
65,0.225
66,0.185
67,0.180
68,0.177
69,0.183
70,0.169
71,0.169
72,0.164
73,0.170
74,0.165
75,0.168
76,0.165
77,0.170
78,0.192
79,0.192
80,0.165
81,0.163
82,0.168
83,0.162
84,0.166
85,0.168
86,0.163
87,0.170
88,0.173
89,0.169
90,0.168
91,0.172
92,0.161
93,0.163
94,0.167
95,0.163
96,0.167
97,0.171
98,0.179
99,0.164
100,0.161
101,0.180
102,0.183
103,0.176
104,0.174
105,0.233
106,0.189
107,0.168
108,0.168
109,0.159
110,0.162
111,0.161
112,0.161
113,0.163
114,0.162
115,0.169
116,0.161
117,0.161
118,0.159
119,0.159
120,0.164
121,0.222
122,0.206
123,0.172
124,0.170
125,0.173
126,0.161
127,0.165
128,0.158
129,0.173
130,0.167
131,0.182
132,0.169
133,0.167
134,0.164
135,0.192
136,0.176
137,0.183
138,0.175
139,0.179
140,0.166
141,0.189
142,0.171
143,0.163
144,0.174
145,0.239
146,0.172
147,0.165
148,0.157
149,0.155
150,0.156
151,0.170
152,0.157
153,0.164
154,0.159
155,0.172
156,0.160
157,0.177
158,0.179
159,0.161
160,0.178
161,0.163
162,0.160
163,0.162
164,0.159
165,0.157
166,0.159
167,0.160
168,0.162
169,0.156
170,0.157
171,0.156
172,0.156
173,0.156
174,0.157
175,0.157
176,0.156
177,0.160
178,0.192
179,0.221
180,0.176
181,0.164
182,0.161
183,0.170
184,0.162
185,0.176
186,0.163
187,0.165
188,0.174
189,0.167
190,0.170
191,0.174
192,0.189
193,0.190
194,0.172
195,0.175
196,0.187
197,0.175
198,0.182
199,0.208
200,0.177
201,0.156
202,0.156
203,0.156
204,0.156
205,0.160
206,0.157
207,0.160
208,0.158
209,0.165
210,0.177
211,0.156
212,0.159
213,0.174
214,0.155
215,0.160
216,0.164
217,0.156
218,0.156
219,0.155
220,0.158
221,0.160
222,0.168
223,0.156
224,0.158
225,0.155
226,0.155
227,0.157
228,0.156
229,0.157
230,0.155
231,0.159
232,0.155
233,0.155
234,0.157
235,0.162
236,0.177
237,0.234
238,0.188
239,0.166
240,0.163
241,0.174
242,0.180
243,0.164
244,0.183
245,0.189
246,0.182
247,0.175
248,0.228
249,0.204
250,0.169
251,0.163
252,0.161
253,0.160
254,0.162
255,0.160
256,0.166
257,0.159
258,0.180
259,0.172
260,0.168
261,0.161
262,0.170
263,0.166
264,0.159
265,0.157
266,0.157
267,0.156
268,0.157
269,0.156
270,0.156
271,0.157
272,0.155
273,0.157
274,0.156
275,0.156
276,0.158
277,0.157
278,0.157
279,0.157
280,0.157
281,0.156
282,0.156
283,0.157
284,0.160
285,0.157
286,0.161
287,0.170
288,0.157
289,0.156
290,0.157
291,0.157
292,0.157
293,0.157
294,0.201
295,0.250
296,0.186
297,0.171
298,0.160
299,0.164
300,0.160
301,0.157
302,0.159
303,0.159
304,0.159
305,0.164
306,0.165
307,0.160
308,0.165
309,0.165
310,0.159
311,0.161
312,0.160
313,0.157
314,0.155
315,0.156
316,0.156
317,0.155
318,0.155
319,0.156
320,0.156
321,0.157
322,0.155
323,0.156
324,0.155
325,0.156
326,0.157
327,0.156
328,0.156
329,0.158
330,0.156
331,0.156
332,0.156
333,0.155
334,0.156
335,0.156
336,0.157
337,0.156
338,0.161
339,0.158
340,0.156
341,0.155
342,0.164
343,0.156
344,0.156
