step,time_ms
1,14.561
2,21.057
3,14.709
4,10.832
5,18.997
6,16.585
7,11.931
8,17.103
9,21.910
10,18.538
11,15.068
12,15.205
13,21.224
14,18.931
15,21.241
16,14.798
17,12.548
18,15.097
19,14.974
20,14.567
21,9.181
22,15.793
23,20.341
24,14.696
25,12.659
26,11.166
27,16.900
28,17.291
29,14.940
30,14.327
31,23.138
32,17.337
33,16.261
34,15.722
35,13.479
36,14.426
37,13.239
38,26.047
39,15.182
40,18.574
41,15.564
42,38.563
43,20.271
44,17.271
45,15.096
46,20.668
47,15.634
48,13.625
49,17.841
50,13.397
51,13.515
52,21.955
53,22.444
54,14.158
55,12.731
56,17.447
57,13.974
58,14.538
59,16.711
60,20.042
61,19.340
62,22.290
63,17.439
64,17.074
65,13.051
66,12.858
67,16.211
68,23.817
69,14.750
70,18.569
71,12.756
72,16.790
73,19.675
74,12.849
75,14.783
76,18.944
77,21.355
78,17.189
79,16.667
80,18.168
81,18.638
82,12.210
83,22.714
84,11.404
85,12.878
86,20.896
87,14.961
88,16.599
89,11.412
90,12.926
91,16.724
92,11.019
93,15.146
94,15.041
95,12.633
96,17.609
97,14.107
98,27.849
99,15.127
100,18.796
101,17.115
102,13.147
103,14.688
104,16.722
105,14.650
106,12.554
107,18.763
108,13.127
109,14.515
110,13.923
111,20.679
112,15.641
113,19.618
114,13.295
115,17.061
116,16.961
117,18.518
118,13.820
119,15.068
120,17.067
121,14.531
122,15.421
123,13.545
124,14.811
125,14.833
126,13.620
127,18.175
128,16.068
129,21.024
130,16.901
131,19.448
132,14.987
133,14.872
134,16.712
135,18.805
136,12.689
137,12.900
138,16.647
139,16.292
140,12.646
141,17.571
142,18.349
143,22.178
144,17.042
145,14.771
146,13.504
147,14.946
148,14.804
149,15.039
150,21.660
151,17.211
152,16.915
153,11.037
154,11.384
155,19.428
156,28.112
157,12.098
158,15.514
159,15.161
160,14.703
161,14.657
162,14.913
163,21.004
164,23.772
165,11.286
166,14.539
167,12.645
168,16.893
169,18.946
170,11.113
171,13.571
172,18.269
173,13.521
174,16.632
175,22.622
176,17.534
177,18.883
178,16.704
179,16.869
180,15.672
181,14.822
182,14.941
183,13.397
184,8.091
185,15.212
186,21.093
187,16.978
188,21.560
189,10.894
190,18.905
191,16.893
192,16.704
193,16.833
194,14.509
195,20.843
196,19.031
197,16.922
198,14.728
199,14.831
200,24.649
201,15.906
202,16.633
203,16.619
204,17.554
205,20.855
206,13.200
207,14.642
208,18.489
209,12.688
210,16.656
211,15.046
212,21.289
213,11.219
214,11.597
215,18.844
216,14.737
217,16.156
218,14.711
219,15.169
220,14.791
221,12.723
222,14.716
223,21.491
224,32.628
225,15.794
226,17.726
227,15.247
228,17.740
229,9.669
230,15.813
231,28.289
232,13.164
233,13.435
234,19.433
235,13.128
236,12.587
237,15.088
238,15.552
239,13.223
240,19.734
241,19.370
242,13.476
243,16.940
244,13.363
245,11.894
246,14.864
247,15.855
248,18.986
249,16.486
250,19.154
251,13.153
252,16.995
253,11.268
254,16.780
255,14.754
256,9.348
257,12.920
258,12.880
259,16.880
260,15.112
261,11.018
262,13.557
263,17.996
264,17.486
265,14.408
266,16.597
267,15.238
268,14.706
269,16.228
270,17.389
271,16.787
272,12.936
273,14.489
274,14.668
275,16.749
276,12.810
277,12.700
278,13.883
279,15.724
280,19.829
281,13.125
282,16.493
283,14.869
284,23.541
285,15.513
286,13.200
287,12.702
288,14.624
289,15.384
290,13.737
291,21.716
292,17.565
293,20.468
294,13.371
295,24.527
296,13.674
297,15.239
298,12.877
299,17.475
300,13.591
301,16.673
302,21.350
303,17.140
304,14.725
305,12.997
306,10.895
307,12.536
308,14.457
309,19.559
310,16.116
311,18.760
312,14.710
313,14.882
314,14.655
315,19.473
316,14.758
317,14.757
318,14.868
319,14.460
320,14.457
321,11.333
322,16.464
323,14.761
324,24.090
325,20.746
326,18.836
327,12.691
328,12.410
329,16.898
330,19.025
331,14.973
332,14.571
333,16.927
334,17.159
335,28.942
336,17.224
337,18.830
338,17.415
339,19.841
340,14.953
341,13.097
342,14.563
343,14.449
344,13.259
345,19.101
346,15.076
347,19.045
348,19.093
349,11.226
350,14.938
351,14.866
352,15.962
353,13.772
354,15.507
355,21.645
356,14.604
357,13.163
358,14.686
359,14.612
360,16.679
361,12.949
362,13.268
363,14.580
364,14.693
365,16.348
366,13.343
367,16.708
368,10.989
369,20.776
370,16.046
371,9.435
372,13.355
373,11.388
374,16.311
375,16.219
376,14.702
377,18.751
378,13.406
379,12.872
380,17.093
381,16.863
382,11.158
383,15.286
384,10.844
385,18.751
386,18.951
387,17.941
388,19.165
389,21.279
390,22.430
391,19.204
392,14.952
393,14.092
394,15.101
395,13.117
396,16.840
397,18.728
398,10.940
399,14.602
400,14.196
401,10.760
402,15.356
403,13.568
404,20.151
405,13.034
406,22.815
407,33.447
408,12.125
409,14.657
410,17.508
411,15.008
412,13.612
413,13.101
414,17.440
415,14.908
416,19.498
417,13.189
418,14.936
419,11.635
420,18.853
421,18.648
422,19.416
423,15.566
424,12.958
425,17.095
426,21.194
427,15.093
428,14.675
429,14.727
430,14.595
431,11.155
432,12.899
433,16.093
434,14.143
435,13.174
436,19.492
437,9.178
438,14.195
439,12.574
440,19.091
441,13.494
442,9.574
443,11.124
444,17.309
445,10.997
446,12.791
447,15.307
448,12.861
449,14.627
450,11.066
451,18.556
452,23.280
453,17.967
454,19.566
455,12.797
456,16.383
457,10.921
458,14.567
459,13.021
460,16.509
461,13.378
462,13.068
463,12.911
464,14.719
465,12.971
466,12.697
467,14.797
468,14.956
469,14.726
470,11.764
471,18.586
472,17.418
473,14.448
474,15.180
475,16.675
476,15.386
477,20.825
478,17.108
479,15.208
480,16.778
481,31.088
482,26.014
483,13.440
484,16.952
485,18.329
486,16.106
487,23.796
488,13.070
489,14.735
490,16.757
491,15.370
492,14.900
493,16.599
494,12.798
495,12.592
496,14.441
497,12.576
498,13.619
499,13.418
500,15.801
501,12.825
502,19.155
503,17.672
504,21.819
505,11.137
506,18.979
507,15.387
508,15.103
509,11.502
510,11.690
511,16.946
512,15.143
513,18.718
514,19.308
515,20.114
516,11.404
517,18.393
518,20.262
519,14.738
520,15.119
521,14.991
522,15.026
523,15.228
524,13.091
525,13.118
526,14.773
527,12.650
528,12.838
529,19.021
530,15.110
531,14.751
532,18.063
533,11.895
534,13.423
535,11.335
536,16.767
537,14.813
538,14.789
539,14.704
540,11.312
541,18.467
542,14.981
543,16.568
544,13.397
545,19.007
546,15.268
547,11.312
548,12.973
549,15.855
550,15.592
551,13.967
552,15.951
553,23.133
554,14.934
555,21.107
556,13.778
557,12.690
558,12.749
559,22.614
560,9.806
561,12.574
562,15.294
563,12.998
564,20.763
565,18.430
566,15.544
567,13.745
568,17.018
569,11.008
570,16.775
571,17.288
572,16.879
573,13.215
574,15.176
575,12.638
576,12.822
577,14.679
578,21.055
579,11.130
580,11.132
581,14.341
582,18.481
583,22.322
584,20.056
585,16.780
586,14.649
587,14.916
588,37.399
