step,time_ms
1,45.350
2,57.649
3,56.353
4,30.467
5,84.898
6,65.526
7,31.071
8,80.916
9,77.312
10,74.390
11,77.319
12,81.651
13,90.523
14,83.430
15,87.499
16,52.757
17,89.028
18,70.827
19,77.635
20,99.786
21,31.768
22,170.024
23,80.800
24,106.989
25,50.677
26,119.641
27,58.860
28,131.866
29,96.645
30,84.361
31,150.624
32,86.806
33,54.017
34,43.506
35,96.371
36,69.069
37,51.842
38,96.564
39,80.225
40,88.658
41,49.008
42,46.898
43,152.996
44,97.001
45,50.231
46,148.551
47,79.951
48,60.325
49,58.929
50,104.145
51,51.178
52,74.310
53,80.138
54,57.144
55,63.423
56,66.144
57,59.080
58,58.143
59,110.182
60,79.039
61,87.733
62,84.411
63,70.734
64,74.416
65,59.245
66,51.598
67,43.227
68,100.537
69,60.573
70,87.485
71,53.681
72,70.507
73,55.027
74,72.851
75,65.103
76,110.930
77,92.307
78,80.803
79,48.752
80,97.715
81,72.832
82,79.748
83,56.025
84,77.575
85,54.503
86,81.637
87,42.856
88,97.668
89,42.967
90,51.468
91,72.092
92,61.081
93,72.898
94,70.026
95,54.111
96,70.101
97,38.633
98,111.768
99,69.854
100,55.418
101,90.427
102,57.001
103,69.899
104,49.713
105,88.566
106,50.697
107,75.635
108,37.444
109,86.152
110,58.803
111,67.823
112,67.885
113,68.366
114,36.730
115,81.591
116,69.901
117,73.175
118,66.870
119,59.632
120,74.411
121,44.623
122,90.821
123,52.788
124,63.952
125,70.521
126,62.839
127,85.735
128,44.021
129,97.528
130,74.044
131,72.956
132,73.340
133,61.433
134,62.117
135,85.028
136,56.651
137,50.530
138,73.788
139,79.573
140,37.868
141,84.449
142,63.295
143,69.628
144,47.334
145,77.780
146,53.171
147,85.061
148,56.751
149,67.671
150,92.152
151,48.995
152,90.043
153,47.585
154,42.465
155,74.960
156,101.153
157,30.942
158,87.624
159,47.302
160,59.376
161,60.806
162,43.639
163,108.360
164,88.733
165,63.119
166,61.076
167,54.874
168,48.618
169,96.168
170,56.352
171,37.058
172,50.074
173,88.266
174,54.807
175,91.720
176,83.543
177,86.480
178,50.140
179,97.016
180,61.464
181,56.145
182,53.021
183,55.865
184,30.421
185,49.042
186,66.703
187,63.099
188,69.928
189,31.308
190,91.828
191,70.030
192,61.736
193,75.678
194,71.393
195,59.238
196,100.340
197,82.665
198,43.489
199,88.380
200,80.813
201,63.890
202,57.815
203,82.377
204,76.301
205,60.936
206,80.339
207,59.718
208,79.055
209,37.508
210,90.811
211,65.192
212,75.362
213,54.997
214,46.863
215,80.528
216,69.088
217,50.091
218,98.893
219,49.957
220,78.748
221,54.913
222,64.456
223,44.222
224,82.669
225,63.582
226,64.546
227,68.271
228,69.484
229,44.165
230,42.623
231,106.170
232,66.324
233,38.495
234,98.674
235,37.411
236,67.185
237,60.260
238,43.505
239,72.854
240,89.742
241,54.706
242,86.077
243,64.955
244,62.634
245,32.223
246,42.814
247,98.313
248,62.835
249,63.371
250,79.970
251,53.978
252,58.909
253,48.245
254,75.521
255,57.637
256,26.500
257,91.597
258,56.738
259,73.693
260,43.923
261,71.792
262,37.198
263,79.197
264,51.832
265,61.923
266,67.948
267,59.274
268,75.321
269,62.959
270,73.926
271,49.822
272,81.242
273,63.337
274,60.145
275,73.093
276,52.390
277,51.402
278,37.673
279,91.978
280,66.292
281,52.381
282,76.393
283,60.497
284,84.364
285,78.219
286,53.366
287,37.047
288,79.056
289,65.220
290,37.780
291,108.272
292,69.358
293,61.583
294,56.361
295,81.057
296,37.656
297,82.035
298,37.970
299,78.192
300,42.178
301,86.694
302,83.264
303,83.693
304,59.014
305,54.736
306,30.581
307,36.433
308,99.464
309,69.314
310,47.592
311,85.187
312,59.910
313,58.076
314,59.272
315,82.107
316,73.866
317,41.964
318,87.661
319,43.591
320,72.971
321,44.010
322,47.794
323,75.848
324,89.747
325,55.914
326,94.963
327,49.167
328,46.867
329,69.345
330,81.153
331,43.512
332,84.302
333,63.873
334,72.072
335,107.967
336,86.389
337,49.738
338,97.398
339,66.225
340,54.971
341,48.967
342,87.630
343,68.560
344,50.313
345,77.960
346,73.768
347,56.034
348,106.967
349,50.984
350,66.152
351,43.100
352,74.353
353,53.234
354,56.853
